# REAL DATA, EHT 2019 M87* image (ESO press release)
# Generated by: /scripts/fetch/eht_m87_to_csv.py
# To regenerate: see /scripts/fetch/eht_m87.md
# Real source: EHT Collaboration et al. (2019) ApJL 875, L1; ESO release eso1907a
# Schema: x_uas, y_uas, intensity (normalized, 0..1). FoV 100.0 μas
# Grid: 200x200 cells, 40000 pixels
x_uas,y_uas,intensity
-40.452,48.492,0.0431
-39.950,48.492,0.0431
-39.447,48.492,0.0431
-38.945,48.492,0.0431
-38.442,48.492,0.0431
-37.940,48.492,0.0431
-37.437,48.492,0.0431
-36.935,48.492,0.0431
-36.432,48.492,0.0431
-35.930,48.492,0.0431
-35.427,48.492,0.0431
-34.925,48.492,0.0431
-34.422,48.492,0.0431
-33.920,48.492,0.0431
-33.417,48.492,0.0431
-32.915,48.492,0.0431
-32.412,48.492,0.0431
-31.910,48.492,0.0431
-31.407,48.492,0.0431
-30.905,48.492,0.0431
-30.402,48.492,0.0431
-29.899,48.492,0.0431
-29.397,48.492,0.0431
-28.894,48.492,0.0431
-28.392,48.492,0.0392
-27.889,48.492,0.0431
-27.387,48.492,0.0431
-26.884,48.492,0.0431
-26.382,48.492,0.0431
-25.879,48.492,0.0431
-25.377,48.492,0.0431
-24.874,48.492,0.0431
-24.372,48.492,0.0392
-23.869,48.492,0.0431
-23.367,48.492,0.0431
-22.864,48.492,0.0431
-22.362,48.492,0.0431
-21.859,48.492,0.0431
-21.357,48.492,0.0392
-20.854,48.492,0.0431
-20.352,48.492,0.0431
-19.849,48.492,0.0392
-19.347,48.492,0.0431
-18.844,48.492,0.0431
-18.342,48.492,0.0431
-17.839,48.492,0.0431
-17.337,48.492,0.0431
-16.834,48.492,0.0431
-16.332,48.492,0.0431
-15.829,48.492,0.0431
-15.327,48.492,0.0431
-14.824,48.492,0.0392
-14.322,48.492,0.0431
-13.819,48.492,0.0431
-13.317,48.492,0.0431
-12.814,48.492,0.0431
-12.312,48.492,0.0431
-11.809,48.492,0.0431
-11.307,48.492,0.0392
-10.804,48.492,0.0431
-10.302,48.492,0.0431
-9.799,48.492,0.0431
-9.296,48.492,0.0431
-8.794,48.492,0.0431
-8.291,48.492,0.0392
-7.789,48.492,0.0431
-7.286,48.492,0.0431
-6.784,48.492,0.0431
-6.281,48.492,0.0392
-5.779,48.492,0.0392
-5.276,48.492,0.0431
-4.774,48.492,0.0431
-4.271,48.492,0.0431
-3.769,48.492,0.0431
-3.266,48.492,0.0392
-2.764,48.492,0.0431
-2.261,48.492,0.0431
-1.759,48.492,0.0431
-1.256,48.492,0.0431
-0.754,48.492,0.0392
-0.251,48.492,0.0431
0.251,48.492,0.0431
0.754,48.492,0.0431
1.256,48.492,0.0392
1.759,48.492,0.0431
2.261,48.492,0.0431
2.764,48.492,0.0431
3.266,48.492,0.0431
3.769,48.492,0.0431
4.271,48.492,0.0431
4.774,48.492,0.0431
5.276,48.492,0.0431
5.779,48.492,0.0392
6.281,48.492,0.0431
6.784,48.492,0.0431
7.286,48.492,0.0431
7.789,48.492,0.0392
8.291,48.492,0.0431
8.794,48.492,0.0392
9.296,48.492,0.0392
9.799,48.492,0.0431
10.302,48.492,0.0431
10.804,48.492,0.0431
11.307,48.492,0.0431
11.809,48.492,0.0431
12.312,48.492,0.0431
12.814,48.492,0.0392
13.317,48.492,0.0431
13.819,48.492,0.0431
14.322,48.492,0.0431
14.824,48.492,0.0431
