# REAL DATA, Pantheon+SH0ES (Brout et al. 2022)
# Fetched from: github.com/PantheonPlusSH0ES/DataRelease (Pantheon+SH0ES.dat)
# To replace or rebuild: see /scripts/fetch/pantheon.md
# Real source: Brout et al. (2022) ApJ 938, 110; doi:10.3847/1538-4357/ac8e04
# Schema: z (zHD, CMB+peculiar-v corrected redshift), mu (MU_SH0ES, mag), sigma (MU_SH0ES_ERR_DIAG, mag)
# Filter: IS_CALIBRATOR==0 & zHD >= 0.005 (1619 of 1701 SNe retained); sorted by z
z,mu,sigma
0.1037,38.208,0.196
0.1051,38.429,0.236
0.1066,38.261,0.196
0.1071,38.462,0.151
0.1071,38.429,0.210
0.1071,38.780,0.469
0.1077,38.498,0.180
0.1079,38.402,0.187
0.1091,38.402,0.133
0.1100,38.570,0.180
0.1126,38.621,0.163
0.1139,38.388,0.195
0.1165,38.541,0.160
0.1165,38.630,0.186
0.1176,38.573,0.240
0.1179,38.609,0.214
0.1182,38.416,0.127
0.1190,38.563,0.212
0.1201,38.596,0.200
0.1206,38.793,0.252
0.1209,38.635,0.303
0.1221,38.594,0.158
0.1223,38.612,0.231
0.1228,38.685,0.145
0.1232,38.597,0.275
0.1236,38.616,0.162
0.1238,38.801,0.333
0.1238,38.824,0.150
0.1239,38.650,0.146
0.1240,38.835,0.222
0.1247,38.762,0.126
0.1256,39.142,0.299
0.1262,38.496,0.293
0.1271,38.812,0.260
0.1271,38.685,0.281
0.1272,38.743,0.160
0.1273,38.784,0.177
0.1292,38.755,0.151
0.1292,38.840,0.213
0.1295,38.833,0.250
0.1296,38.843,0.143
0.1317,38.802,0.135
0.1328,38.784,0.122
0.1337,38.827,0.284
0.1337,38.843,0.158
0.1348,39.237,0.199
0.1353,39.078,0.313
0.1361,38.977,0.207
0.1366,38.847,0.196
0.1370,39.010,0.224
0.1371,38.962,0.259
0.1374,39.351,0.230
0.1382,38.886,0.128
0.1383,38.950,0.160
0.1384,39.023,0.124
0.1385,39.040,0.319
0.1388,39.000,0.176
0.1388,39.047,0.131
0.1396,39.021,0.146
0.1408,39.178,0.184
0.1410,39.283,0.204
0.1412,39.041,0.212
0.1413,39.124,0.261
0.1432,39.047,0.161
0.1434,39.515,0.371
0.1436,39.114,0.129
0.1440,39.076,0.171
0.1442,39.016,0.241
0.1454,39.152,0.210
0.1464,39.186,0.207
0.1465,39.158,0.188
0.1474,39.015,0.197
0.1475,38.967,0.172
0.1477,39.134,0.189
0.1478,39.161,0.170
0.1480,39.228,0.185
0.1481,39.038,0.158
0.1483,39.024,0.143
0.1490,39.161,0.175
0.1494,39.110,0.175
0.1505,39.106,0.170
0.1508,39.169,0.134
0.1520,39.048,0.159
0.1529,39.324,0.173
0.1532,39.218,0.128
0.1534,39.099,0.160
0.1534,39.256,0.179
0.1536,39.364,0.175
0.1551,39.208,0.168
0.1553,39.278,0.158
0.1554,39.399,0.176
0.1560,38.970,0.179
0.1567,39.209,0.210
0.1586,39.079,0.164
0.1592,39.427,0.284
0.1593,38.950,0.144
0.1595,39.091,0.143
0.1600,39.043,0.271
0.1601,39.229,0.168
0.1605,39.206,0.217
0.1606,39.424,0.260
0.1608,39.216,0.209
0.1612,39.311,0.246
0.1624,39.325,0.224
0.1638,39.281,0.201
0.1645,39.263,0.199
0.1647,39.329,0.139
0.1650,39.318,0.151
0.1660,39.494,0.242
0.1661,39.182,0.193
0.1683,39.276,0.166
0.1692,39.516,0.183
0.1697,39.672,0.275
0.1704,39.474,0.133
0.1712,39.542,0.276
